Date,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTEloRatings,ATEloRatings,numbers,Avg_HST,Avg_AST
2022-04-16,Spain La Liga,Alaves,Vallecano,1,0,H,5,3,19,11,1,3,1584.629028,1616.029785,26743,4,3.6
2022-03-19,Spain La Liga,Alaves,Granada,2,3,A,6,3,19,18,5,1,1600.04126,1620.776367,26510,3.2,3.4
2022-03-04,Spain La Liga,Alaves,Sevilla,0,0,D,2,4,19,3,4,9,1591.165649,1840.536499,26314,3,3.6
2022-02-13,Spain La Liga,Alaves,Valencia,2,1,H,5,4,19,10,2,2,1579.245483,1702.438721,26086,2.8,3.2
2022-01-23,Spain La Liga,Alaves,Barcelona,0,1,A,2,4,19,2,2,9,1591.381836,1830.984985,25931,2.8,3.4
2022-01-09,Spain La Liga,Alaves,Ath Bilbao,0,0,D,1,2,19,8,2,7,1596.956055,1711.786255,25744,3.4,3.6
2022-01-02,Spain La Liga,Alaves,Sociedad,1,1,D,5,4,19,6,1,1,1594.721069,1736.216064,25677,3.4,3.6
2021-12-11,Spain La Liga,Alaves,Getafe,1,1,D,1,2,19,15,5,8,1608.415771,1619.44397,25346,3,4.2
2021-11-27,Spain La Liga,Alaves,Celta,1,2,A,5,5,19,12,11,6,1616.178955,1678.300781,25049,3.8,4
2021-11-27,Spanish La Liga,Alaves,Celta,1,2,A,5,5,17,14,11,6,1616.178955,1678.300781,25072,3.8,3.2
2021-11-12,Spanish La Liga,Alaves,Getafe,1,1,D,1,2,17,16,5,8,1616.40332,1605.138916,24873,3.2,3
2021-11-06,Spain La Liga,Alaves,Levante,2,1,H,3,7,19,20,7,2,1609.822754,1607.502686,24777,3.4,3.4
2021-10-26,Spain La Liga,Alaves,Elche,1,0,H,5,1,19,13,6,4,1604.31189,1598.757446,24573,3,2.2
2021-10-26,Spanish La Liga,Alaves,Elche,1,0,H,5,1,17,18,6,4,1604.31189,1598.757446,24565,2.2,2.2
2021-10-18,Spain La Liga,Alaves,Betis,0,1,A,2,4,19,5,3,10,1590.083008,1738.376953,24430,1.8,3
2021-10-18,Spanish La Liga,Alaves,Betis,0,1,A,2,4,17,3,3,10,1590.083008,1738.376953,24426,2.2,2.6
